section,name,speed_deg_per_hr,xdo_numerical,xdo_alphabetical,nodal_correction
Twelfth-Diurnal Constituents,3(MN)12,172.2715013,,L WZC ZZZ,x
Twelfth-Diurnal Constituents,6MNS12,172.3443550,,L WBA ZZZ,x
Twelfth-Diurnal Constituents,4M2N12,172.8158760,,L XZB ZZZ,x
Twelfth-Diurnal Constituents,7MS12,172.8887297,,L XBZ ZZZ,x
Twelfth-Diurnal Constituents,4M2NKS12,172.8980133,,L XBB ZZZ,x
Twelfth-Diurnal Constituents,5MSNK12,173.2781135,,L YXA ZZZ,x
Twelfth-Diurnal Constituents,3N2MS12,173.362457,,L YZA YZZ,x
Twelfth-Diurnal Constituents,5MN12,173.3602507,,L YZA ZZZ,x
Twelfth-Diurnal Constituents,5Mnu12 (5M12),173.4331044,,L YBY ZZZ,x
Twelfth-Diurnal Constituents,6MSK12,173.8224882,,L ZXZ ZZZ,x
Twelfth-Diurnal Constituents,3M2SN12,173.831772,,L ZXB ZZZ,x
Twelfth-Diurnal Constituents,MA12,173.863557,,L ZYZ ZZZ,x
Twelfth-Diurnal Constituents,M12,173.9046254,,L ZZZ ZZZ,x
Twelfth-Diurnal Constituents,4MSN12,174.3761465,,L AXA ZZZ,x
Twelfth-Diurnal Constituents,4ML12,174.449000,,L AZY ZZB,x
Twelfth-Diurnal Constituents,4MNK12,174.4582839,,L AZA ZZZ,x
Twelfth-Diurnal Constituents,2(MSN)12,174.8476676,,L BVB ZZZ,x
Twelfth-Diurnal Constituents,5MT12,174.8794545,,L BWZ ZAZ,x
Twelfth-Diurnal Constituents,5MS12,174.9205212,,L BXZ ZZZ,x
Twelfth-Diurnal Constituents,5MK12,175.0026585,,L BZZ ZZZ,x
Twelfth-Diurnal Constituents,3M2SN12,175.3920423,,L CVA ZZZ,x
Twelfth-Diurnal Constituents,6MSN12,175.4648959,,L CXY ZZZ,x
Twelfth-Diurnal Constituents,3MNKS12,175.4741785,,L CXA ZZZ,x
Twelfth-Diurnal Constituents,5MSN12,175.547033,,L CZY ZZZ,x
Twelfth-Diurnal Constituents,4MST12,175.8953503,,L DUZ ZAZ,x
Twelfth-Diurnal Constituents,4M2S12,175.93641700,,L DVZ ZZZ,x
Twelfth-Diurnal Constituents,4MSK12,176.0185542,,L DXZ ZZZ,x
Twelfth-Diurnal Constituents,3(MS)12,176.9523127,,L FTZ ZZZ,x
Twelfth-Diurnal Constituents,3M2SK12,177.0344500,,L FVZ ZZZ,x
Fourteenth-Diurnal Constituents,5MSN14,203.3602507,,N AXA ZZZ,x
Fourteenth-Diurnal Constituents,5MNK14,203.4423880,,N AZA ZZZ,x
Fourteenth-Diurnal Constituents,6MS14,203.9046254,,N BXZ ZZZ,x
